{'n_aborts': 0, 'n_successes': 0, 'steps': 1}
{'n_aborts': 18, 'n_successes': 31, 'steps': 75, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 76, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 77, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 78, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 79, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 80, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 81, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 82, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 83, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 84, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 85, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 86, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 87, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 88, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 89, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 90, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 91, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 92, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 93, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 94, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 95, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 96, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 97, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 98, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 99, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 100, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 101, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 102, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 103, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 104, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 105, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 106, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 107, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 108, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 109, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 110, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 111, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 112, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 113, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 114, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 115, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 116, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 117, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 118, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 119, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 120, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 121, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 122, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 123, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 124, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 125, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 126, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 127, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 128, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 129, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 130, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 131, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 132, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 133, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 134, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 135, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 136, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 137, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 138, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 139, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 140, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 141, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 142, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 143, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 144, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 145, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 146, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 147, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 148, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 149, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 150, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 151, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 152, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 153, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 154, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 155, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 156, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 157, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 158, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 159, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 160, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 161, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 162, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 163, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 164, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 165, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 166, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 167, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 168, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 169, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 170, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 171, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 172, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 173, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 174, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 175, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 176, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 177, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 178, 'name': 'Linear Model'}
