{'n_aborts': 1123, 'n_successes': 937, 'steps': 75, 'name': 'Linear Model'}
{'n_aborts': 1138, 'n_successes': 949, 'steps': 76, 'name': 'Linear Model'}
{'n_aborts': 1157, 'n_successes': 967, 'steps': 77, 'name': 'Linear Model'}
{'n_aborts': 1167, 'n_successes': 978, 'steps': 78, 'name': 'Linear Model'}
{'n_aborts': 1190, 'n_successes': 988, 'steps': 79, 'name': 'Linear Model'}
{'n_aborts': 1201, 'n_successes': 1005, 'steps': 80, 'name': 'Linear Model'}
{'n_aborts': 1220, 'n_successes': 1018, 'steps': 81, 'name': 'Linear Model'}
{'n_aborts': 1233, 'n_successes': 1029, 'steps': 82, 'name': 'Linear Model'}
{'n_aborts': 1255, 'n_successes': 1046, 'steps': 83, 'name': 'Linear Model'}
{'n_aborts': 1273, 'n_successes': 1062, 'steps': 84, 'name': 'Linear Model'}
{'n_aborts': 1284, 'n_successes': 1077, 'steps': 85, 'name': 'Linear Model'}
{'n_aborts': 1297, 'n_successes': 1093, 'steps': 86, 'name': 'Linear Model'}
{'n_aborts': 1312, 'n_successes': 1103, 'steps': 87, 'name': 'Linear Model'}
{'n_aborts': 1335, 'n_successes': 1111, 'steps': 88, 'name': 'Linear Model'}
{'n_aborts': 1349, 'n_successes': 1124, 'steps': 89, 'name': 'Linear Model'}
{'n_aborts': 1367, 'n_successes': 1133, 'steps': 90, 'name': 'Linear Model'}
{'n_aborts': 1383, 'n_successes': 1145, 'steps': 91, 'name': 'Linear Model'}
{'n_aborts': 1403, 'n_successes': 1158, 'steps': 92, 'name': 'Linear Model'}
{'n_aborts': 1418, 'n_successes': 1166, 'steps': 93, 'name': 'Linear Model'}
{'n_aborts': 1444, 'n_successes': 1185, 'steps': 94, 'name': 'Linear Model'}
{'n_aborts': 1464, 'n_successes': 1202, 'steps': 95, 'name': 'Linear Model'}
{'n_aborts': 1473, 'n_successes': 1217, 'steps': 96, 'name': 'Linear Model'}
{'n_aborts': 1480, 'n_successes': 1229, 'steps': 97, 'name': 'Linear Model'}
{'n_aborts': 1498, 'n_successes': 1246, 'steps': 98, 'name': 'Linear Model'}
{'n_aborts': 1514, 'n_successes': 1259, 'steps': 99, 'name': 'Linear Model'}
{'n_aborts': 1530, 'n_successes': 1274, 'steps': 100, 'name': 'Linear Model'}
{'n_aborts': 1555, 'n_successes': 1286, 'steps': 101, 'name': 'Linear Model'}
{'n_aborts': 1567, 'n_successes': 1300, 'steps': 102, 'name': 'Linear Model'}
{'n_aborts': 1584, 'n_successes': 1309, 'steps': 103, 'name': 'Linear Model'}
{'n_aborts': 1595, 'n_successes': 1324, 'steps': 104, 'name': 'Linear Model'}
{'n_aborts': 1613, 'n_successes': 1337, 'steps': 105, 'name': 'Linear Model'}
{'n_aborts': 1632, 'n_successes': 1353, 'steps': 106, 'name': 'Linear Model'}
{'n_aborts': 1650, 'n_successes': 1367, 'steps': 107, 'name': 'Linear Model'}
{'n_aborts': 1662, 'n_successes': 1377, 'steps': 108, 'name': 'Linear Model'}
{'n_aborts': 1677, 'n_successes': 1390, 'steps': 109, 'name': 'Linear Model'}
{'n_aborts': 1684, 'n_successes': 1400, 'steps': 110, 'name': 'Linear Model'}
