{'name': 'k-smf-k=5', 'total_time': 28, 'decision_time': 27, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 368, 'decision_time': 365, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 365, 'decision_time': 363, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 511, 'decision_time': 511, 'conflict_time': 34, 'RL_time': 476}
{'name': 'RL n=20 T=6 filterT', 'total_time': 73, 'decision_time': 73, 'conflict_time': 51, 'RL_time': 22}
{'name': 'RL n=20 T=6 skipT', 'total_time': 55, 'decision_time': 54, 'conflict_time': 40, 'RL_time': 13}
{'name': 'RL n=20 T=6 filterT skipT', 'total_time': 74, 'decision_time': 73, 'conflict_time': 51, 'RL_time': 21}
{'name': 'RL-smf n=20 T=6', 'total_time': 79, 'decision_time': 79, 'conflict_time': 53, 'RL_time': 24}
{'name': 'RL n=50 T=6', 'total_time': 443, 'decision_time': 443, 'conflict_time': 342, 'RL_time': 100}
{'name': 'RL n=50 T=6 filterT', 'total_time': 302, 'decision_time': 302, 'conflict_time': 235, 'RL_time': 67}
{'name': 'RL n=50 T=6 skipT', 'total_time': 300, 'decision_time': 300, 'conflict_time': 241, 'RL_time': 57}
{'name': 'RL n=50 T=6 filterT skipT', 'total_time': 274, 'decision_time': 274, 'conflict_time': 221, 'RL_time': 53}
{'name': 'RL-smf n=50 T=6', 'total_time': 297, 'decision_time': 296, 'conflict_time': 237, 'RL_time': 58}
{'name': 'RL n=100 T=6', 'total_time': 1249, 'decision_time': 1248, 'conflict_time': 902, 'RL_time': 346}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1418, 'decision_time': 1418, 'conflict_time': 1054, 'RL_time': 363}
{'name': 'RL n=100 T=6 skipT', 'total_time': 1584, 'decision_time': 1583, 'conflict_time': 995, 'RL_time': 588}
{'name': 'RL n=100 T=6 filterT skipT', 'total_time': 1537, 'decision_time': 1537, 'conflict_time': 1071, 'RL_time': 465}
{'name': 'RL-smf n=100 T=6', 'total_time': 1150, 'decision_time': 1149, 'conflict_time': 874, 'RL_time': 271}
{'name': 'k-smf-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 41, 'decision_time': 41, 'conflict_time': 31, 'RL_time': 9}
{'name': 'RL n=20 T=6 filterT', 'total_time': 44, 'decision_time': 43, 'conflict_time': 32, 'RL_time': 11}
{'name': 'RL n=20 T=6 skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6 filterT skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL-smf n=20 T=6', 'total_time': 41, 'decision_time': 41, 'conflict_time': 30, 'RL_time': 10}
{'name': 'RL n=50 T=6', 'total_time': 240, 'decision_time': 240, 'conflict_time': 199, 'RL_time': 41}
{'name': 'RL n=50 T=6 filterT', 'total_time': 263, 'decision_time': 263, 'conflict_time': 198, 'RL_time': 64}
{'name': 'RL n=50 T=6 skipT', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=50 T=6 filterT skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL-smf n=50 T=6', 'total_time': 312, 'decision_time': 312, 'conflict_time': 265, 'RL_time': 43}
{'name': 'RL n=100 T=6', 'total_time': 1405, 'decision_time': 1404, 'conflict_time': 1031, 'RL_time': 373}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1612, 'decision_time': 1611, 'conflict_time': 1036, 'RL_time': 573}
{'name': 'RL n=100 T=6 skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=100 T=6 filterT skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL-smf n=100 T=6', 'total_time': 1647, 'decision_time': 1647, 'conflict_time': 990, 'RL_time': 652}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 33, 'decision_time': 33, 'conflict_time': 26, 'RL_time': 7}
{'name': 'RL n=20 T=6 filterT', 'total_time': 35, 'decision_time': 33, 'conflict_time': 26, 'RL_time': 7}
{'name': 'RL n=20 T=6 skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6 filterT skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL-smf n=20 T=6', 'total_time': 39, 'decision_time': 39, 'conflict_time': 31, 'RL_time': 6}
{'name': 'RL n=50 T=6', 'total_time': 273, 'decision_time': 272, 'conflict_time': 208, 'RL_time': 63}
{'name': 'RL n=50 T=6 filterT', 'total_time': 287, 'decision_time': 286, 'conflict_time': 197, 'RL_time': 87}
{'name': 'RL n=50 T=6 skipT', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=50 T=6 filterT skipT', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL-smf n=50 T=6', 'total_time': 300, 'decision_time': 300, 'conflict_time': 213, 'RL_time': 83}
