{'name': 'RL n=50 T=7', 'total_time': 383, 'decision_time': 382, 'conflict_time': 349, 'RL_time': 32}
{'name': 'RL n=50 T=7 filterT', 'total_time': 372, 'decision_time': 372, 'conflict_time': 340, 'RL_time': 31}
{'name': 'RL-smf n=50 T=7', 'total_time': 378, 'decision_time': 378, 'conflict_time': 341, 'RL_time': 33}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 376, 'decision_time': 376, 'conflict_time': 342, 'RL_time': 31}
{'name': 'RL n=100 T=7', 'total_time': 1725, 'decision_time': 1724, 'conflict_time': 1340, 'RL_time': 384}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1528, 'decision_time': 1526, 'conflict_time': 1347, 'RL_time': 178}
{'name': 'RL-smf n=100 T=7', 'total_time': 1619, 'decision_time': 1618, 'conflict_time': 1338, 'RL_time': 204}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1603, 'decision_time': 1602, 'conflict_time': 1369, 'RL_time': 225}
{'name': 'k-smf-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 68, 'decision_time': 67, 'conflict_time': 57, 'RL_time': 10}
{'name': 'RL n=20 T=7 filterT', 'total_time': 64, 'decision_time': 63, 'conflict_time': 53, 'RL_time': 10}
{'name': 'RL-smf n=20 T=7', 'total_time': 63, 'decision_time': 63, 'conflict_time': 51, 'RL_time': 11}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 66, 'decision_time': 65, 'conflict_time': 51, 'RL_time': 13}
{'name': 'RL n=50 T=7', 'total_time': 387, 'decision_time': 386, 'conflict_time': 352, 'RL_time': 33}
{'name': 'RL n=50 T=7 filterT', 'total_time': 384, 'decision_time': 383, 'conflict_time': 335, 'RL_time': 47}
{'name': 'RL-smf n=50 T=7', 'total_time': 352, 'decision_time': 351, 'conflict_time': 321, 'RL_time': 28}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 367, 'decision_time': 367, 'conflict_time': 327, 'RL_time': 35}
{'name': 'RL n=100 T=7', 'total_time': 1842, 'decision_time': 1840, 'conflict_time': 1357, 'RL_time': 483}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1523, 'decision_time': 1522, 'conflict_time': 1346, 'RL_time': 173}
{'name': 'RL-smf n=100 T=7', 'total_time': 1608, 'decision_time': 1607, 'conflict_time': 1392, 'RL_time': 209}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1595, 'decision_time': 1594, 'conflict_time': 1353, 'RL_time': 233}
{'name': 'k-smf-k=5', 'total_time': 3, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 4, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 6, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 63, 'decision_time': 62, 'conflict_time': 50, 'RL_time': 11}
{'name': 'RL n=20 T=7 filterT', 'total_time': 64, 'decision_time': 63, 'conflict_time': 50, 'RL_time': 12}
{'name': 'RL-smf n=20 T=7', 'total_time': 64, 'decision_time': 64, 'conflict_time': 50, 'RL_time': 12}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 66, 'decision_time': 65, 'conflict_time': 52, 'RL_time': 11}
{'name': 'RL n=50 T=7', 'total_time': 398, 'decision_time': 397, 'conflict_time': 367, 'RL_time': 29}
{'name': 'RL n=50 T=7 filterT', 'total_time': 386, 'decision_time': 385, 'conflict_time': 355, 'RL_time': 30}
{'name': 'RL-smf n=50 T=7', 'total_time': 395, 'decision_time': 394, 'conflict_time': 360, 'RL_time': 31}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 386, 'decision_time': 385, 'conflict_time': 347, 'RL_time': 35}
{'name': 'RL n=100 T=7', 'total_time': 1859, 'decision_time': 1856, 'conflict_time': 1419, 'RL_time': 436}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1626, 'decision_time': 1623, 'conflict_time': 1422, 'RL_time': 200}
{'name': 'RL-smf n=100 T=7', 'total_time': 1640, 'decision_time': 1638, 'conflict_time': 1420, 'RL_time': 211}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1659, 'decision_time': 1657, 'conflict_time': 1410, 'RL_time': 237}
{'name': 'k-smf-k=5', 'total_time': 3, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 3, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 67, 'decision_time': 67, 'conflict_time': 56, 'RL_time': 10}
{'name': 'RL n=20 T=7 filterT', 'total_time': 59, 'decision_time': 59, 'conflict_time': 48, 'RL_time': 11}
{'name': 'RL-smf n=20 T=7', 'total_time': 61, 'decision_time': 61, 'conflict_time': 47, 'RL_time': 11}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 60, 'decision_time': 60, 'conflict_time': 49, 'RL_time': 10}
{'name': 'RL n=50 T=7', 'total_time': 375, 'decision_time': 374, 'conflict_time': 339, 'RL_time': 34}
{'name': 'RL n=50 T=7 filterT', 'total_time': 376, 'decision_time': 375, 'conflict_time': 346, 'RL_time': 28}
{'name': 'RL-smf n=50 T=7', 'total_time': 364, 'decision_time': 364, 'conflict_time': 333, 'RL_time': 28}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 361, 'decision_time': 360, 'conflict_time': 328, 'RL_time': 29}
